Sample	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
R1	27334231	1.0708	0.9646	 0.005778	 0.41416	N
R2	27572067	0.9515	0.9616	 0.002119	-0.04447	N
R3	27460837	1.0697	0.9651	 0.006318	 0.48174	N
R4	27027299	0.9400	0.9622	 0.002828	 0.04447	N
R5	21674911	1.1355	0.9543	-0.006600	-1.13709	N
R6	27434527	1.0079	0.9676	 0.009394	 0.86724	N
R7	25224557	1.0473	0.9556	-0.005024	-0.93955	N
R8	31792234	0.8739	0.9520	-0.009313	-1.47707	N
R9	26694444	1.0427	0.9555	-0.005142	-0.95443	N
R10	32037871	0.8799	0.9506	-0.011008	-1.68950	N
R11	25434399	1.0635	0.9642	 0.005234	 0.34589	N
R12	28215628	0.9551	0.9643	 0.005416	 0.36879	N
