R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
R1	1.0000	0.9600	0.9962	0.9595	0.9775	0.9680	0.9804	0.9320	0.9804	0.9301	0.9754	0.9513
R2	0.9600	1.0000	0.9592	0.9961	0.9426	0.9811	0.9306	0.9795	0.9311	0.9798	0.9450	0.9721
R3	0.9962	0.9592	1.0000	0.9590	0.9781	0.9681	0.9822	0.9321	0.9822	0.9304	0.9765	0.9517
R4	0.9595	0.9961	0.9590	1.0000	0.9431	0.9822	0.9314	0.9811	0.9319	0.9811	0.9456	0.9726
R5	0.9775	0.9426	0.9781	0.9431	1.0000	0.9738	0.9662	0.9146	0.9652	0.9121	0.9764	0.9476
R6	0.9680	0.9811	0.9681	0.9822	0.9738	1.0000	0.9471	0.9658	0.9465	0.9643	0.9661	0.9809
R7	0.9804	0.9306	0.9822	0.9314	0.9662	0.9471	1.0000	0.9234	0.9962	0.9209	0.9848	0.9484
R8	0.9320	0.9795	0.9321	0.9811	0.9146	0.9658	0.9234	1.0000	0.9235	0.9971	0.9410	0.9823
R9	0.9804	0.9311	0.9822	0.9319	0.9652	0.9465	0.9962	0.9235	1.0000	0.9214	0.9843	0.9478
R10	0.9301	0.9798	0.9304	0.9811	0.9121	0.9643	0.9209	0.9971	0.9214	1.0000	0.9388	0.9808
R11	0.9754	0.9450	0.9765	0.9456	0.9764	0.9661	0.9848	0.9410	0.9843	0.9388	1.0000	0.9717
R12	0.9513	0.9721	0.9517	0.9726	0.9476	0.9809	0.9484	0.9823	0.9478	0.9808	0.9717	1.0000
