Pair	R1_NA	R2_NA	R3_NA	R4_NA	R5_NA	R6_NA	R7_NA	R8_NA	R9_NA	R10_NA	R11_NA	R12_NA
R1_NA	100	97.03	98.61	97.93	98.94	98.34	90.51	87.18	87.94	88.39	86.82	85.48
R2_NA	97.03	100	98.03	98.79	97.17	98.41	88.98	88.15	88.06	89.47	86.92	86.86
R3_NA	98.61	98.03	100	98.24	97.68	97.94	92.09	89.34	89.86	90.35	88.72	88.28
R4_NA	97.93	98.79	98.24	100	98.30	99.11	91.27	88.81	88.89	89.63	88.15	88.03
R5_NA	98.94	97.17	97.68	98.30	100	98.90	89.57	86.92	86.99	88.24	86.29	86.09
R6_NA	98.34	98.41	97.94	99.11	98.90	100	88.89	87.41	86.26	88.19	86.57	86.86
R7_NA	90.51	88.98	92.09	91.27	89.57	88.89	100	98.31	99.16	98.15	98.53	98.15
R8_NA	87.18	88.15	89.34	88.81	86.92	87.41	98.31	100	99.09	99.38	98.68	98.32
R9_NA	87.94	88.06	89.86	88.89	86.99	86.26	99.16	99.09	100	98.58	99.35	98.55
R10_NA	88.39	89.47	90.35	89.63	88.24	88.19	98.15	99.38	98.58	100	98.33	98.50
R11_NA	86.82	86.92	88.72	88.15	86.29	86.57	98.53	98.68	99.35	98.33	100	98.36
R12_NA	85.48	86.86	88.28	88.03	86.09	86.86	98.15	98.32	98.55	98.50	98.36	100
