Sample	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic
R1	42572577	56.41	6.80	24.09	11.10	1.61
R2	42276165	57.90	6.47	24.64	9.63	1.37
R3	43211110	56.38	6.96	23.11	11.94	1.61
R4	41352056	58.66	6.61	23.80	9.60	1.33
R5	33778915	58.92	6.69	23.21	9.70	1.48
R6	41955210	60.86	6.20	22.89	8.83	1.21
R7	39760217	55.81	6.71	22.87	12.90	1.71
R8	48594850	60.50	6.33	22.77	9.14	1.26
R9	42341442	54.85	6.71	22.91	13.77	1.77
R10	49300474	59.49	6.35	23.04	9.81	1.30
R11	39724643	57.23	6.52	23.40	11.35	1.49
R12	42989998	60.30	6.01	23.11	9.38	1.20
