gene	gene_name	gene_type	chr	start	end	strand	length	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
ENSG00000000003.10	TSPAN6	protein_coding	chrX	99883667	99894988	-	2968	9	4	7	8	27	15	5	3	4	5	4	2
ENSG00000000419.8	DPM1	protein_coding	chr20	49551404	49575092	-	1207	1159	1430	1084	1341	952	1405	903	1616	974	1561	1153	1587
ENSG00000000457.9	SCYL3	protein_coding	chr1	169818772	169863408	-	6876	894	850	905	837	769	881	772	809	808	815	910	849
ENSG00000000460.12	C1orf112	protein_coding	chr1	169631245	169823221	+	6354	382	290	427	243	176	248	344	198	375	234	252	232
ENSG00000000938.8	FGR	protein_coding	chr1	27938575	27961788	-	3474	1888	1041	1596	915	2404	1737	1854	525	1953	545	1859	1726
ENSG00000000971.11	CFH	protein_coding	chr1	196621008	196716634	+	8144	39	23	43	25	20	9	0	1	4	0	2	0
ENSG00000001036.9	FUCA2	protein_coding	chr6	143815948	143832827	-	3119	370	292	372	291	218	207	227	282	241	272	209	196
ENSG00000001084.6	GCLC	protein_coding	chr6	53362139	53481768	-	8463	1337	1287	1152	1215	1424	1778	1208	1986	1261	1762	1602	2292
ENSG00000001167.10	NFYA	protein_coding	chr6	41040684	41067715	+	3811	1975	2450	2008	2412	1420	2362	2107	3383	2298	3352	2240	2923
ENSG00000001460.13	STPG1	protein_coding	chr1	24683489	24743424	-	8514	97	127	105	118	171	151	148	194	143	164	204	156
ENSG00000001461.12	NIPAL3	protein_coding	chr1	24742284	24799466	+	9404	1091	568	1160	538	1456	1056	1582	616	1563	584	1400	815
ENSG00000001497.12	LAS1L	protein_coding	chrX	64732462	64754655	-	5589	2018	3317	2017	3232	1284	2780	1533	4609	1661	4843	1584	2813
ENSG00000001561.6	ENPP4	protein_coding	chr6	46097730	46114436	+	4651	742	691	764	741	605	949	776	1314	891	1500	795	1372
ENSG00000001617.7	SEMA3F	protein_coding	chr3	50192478	50226508	+	4826	0	2	3	1	7	7	2	2	0	2	12	9
ENSG00000001629.5	ANKIB1	protein_coding	chr7	91875548	92030698	+	7130	2110	2381	2154	2353	1833	2484	2356	3391	2669	3471	2394	2659
ENSG00000001630.11	CYP51A1	protein_coding	chr7	91741465	91772266	-	4074	91	113	100	151	98	283	92	216	68	225	109	234
ENSG00000001631.10	KRIT1	protein_coding	chr7	91828283	91875480	-	6204	2060	1855	2050	1741	1493	1756	1904	1960	2119	2035	2022	1961
ENSG00000002016.12	RAD52	protein_coding	chr12	1021243	1099219	-	4190	1050	648	961	649	720	667	965	513	1072	566	780	514
ENSG00000002079.8	MYH16	pseudogene	chr7	98836417	98908753	+	6387	1	0	3	1	2	3	1	0	1	2	0	2
ENSG00000002330.9	BAD	protein_coding	chr11	64037302	64052176	-	1708	213	100	231	112	208	192	194	59	173	55	249	135
ENSG00000002549.8	LAP3	protein_coding	chr4	17578815	17609595	+	3785	1405	3536	1313	3467	910	1947	804	3517	907	3661	1228	2038
ENSG00000002587.5	HS3ST1	protein_coding	chr4	11394774	11431389	-	8166	422	41	396	36	54	51	575	35	524	49	129	54
ENSG00000002726.15	AOC1	protein_coding	chr7	150521715	150558592	+	3824	12	10	8	11	7	2	4	3	7	0	0	0
ENSG00000002745.8	WNT16	protein_coding	chr7	120965421	120981158	+	3261	229	141	236	95	189	143	413	138	417	172	629	403
ENSG00000002822.11	MAD1L1	protein_coding	chr7	1855429	2272878	-	6955	1368	933	1297	998	1286	1346	1512	1340	1414	1301	1117	1079
ENSG00000002834.13	LASP1	protein_coding	chr17	37026112	37078023	+	7061	6972	2771	6672	2546	7046	4967	6740	1728	6754	1511	6785	3305
ENSG00000002919.10	SNX11	protein_coding	chr17	46180719	46200436	+	3606	1689	4015	1706	3808	1015	4402	1154	4500	1229	4711	1348	3676
ENSG00000002933.3	TMEM176A	protein_coding	chr7	150497491	150502208	+	3479	28	13	23	26	9	10	24	25	42	30	1	1
ENSG00000003056.3	M6PR	protein_coding	chr12	9092959	9102551	-	3777	3475	4732	3713	4750	2974	5283	3576	9189	3745	8912	3674	7326
ENSG00000003096.9	KLHL13	protein_coding	chrX	117031776	117251303	-	6983	1	0	6	2	7	5	3	2	7	0	3	0
ENSG00000003137.4	CYP26B1	protein_coding	chr2	72356367	72375167	-	5015	2	0	1	2	1	3	0	0	0	0	5	0
ENSG00000003147.13	ICA1	protein_coding	chr7	8152814	8302317	-	4891	16	26	12	16	17	18	5	2	2	1	2	5
ENSG00000003249.9	DBNDD1	protein_coding	chr16	90071273	90086536	-	3522	73	9	74	9	13	6	294	12	348	20	69	36
ENSG00000003393.10	ALS2	protein_coding	chr2	202565277	202645912	-	10381	549	687	645	678	716	973	617	830	627	851	897	1055
ENSG00000003400.10	CASP10	protein_coding	chr2	202047604	202094129	+	7598	1171	314	1132	308	911	446	1217	138	1385	130	1071	374
ENSG00000003402.15	CFLAR	protein_coding	chr2	201980827	202041410	+	22528	5855	10138	5968	10105	4919	9746	4888	13995	5539	13745	6156	13500
ENSG00000003436.10	TFPI	protein_coding	chr2	188328957	188430487	-	11714	11	9	5	14	17	18	1	4	6	2	2	5
ENSG00000003509.11	NDUFAF7	protein_coding	chr2	37458774	37480546	+	3651	1055	651	1083	608	725	621	932	577	993	543	774	647
ENSG00000003756.12	RBM5	protein_coding	chr3	50126341	50156454	+	10368	12863	6218	12752	5827	7888	6662	13223	5647	14621	5774	10636	6825
ENSG00000003987.9	MTMR7	protein_coding	chr8	17155539	17271037	-	5692	75	84	63	62	73	63	53	73	59	69	75	55
ENSG00000004059.6	ARF5	protein_coding	chr7	127228399	127231759	+	1871	2188	1532	2141	1566	2354	2626	1670	1273	1787	1250	2040	2057
ENSG00000004139.9	SARM1	protein_coding	chr17	26691378	26728065	+	8132	302	283	321	323	335	364	380	462	368	467	392	409
ENSG00000004142.7	POLDIP2	protein_coding	chr17	26673659	26684545	-	2662	2315	3841	2263	3808	1575	3756	1607	5292	1658	5511	1882	3897
ENSG00000004399.8	PLXND1	protein_coding	chr3	129274018	129325661	-	9738	1860	518	1686	592	685	258	1718	215	1716	137	716	78
ENSG00000004455.12	AK2	protein_coding	chr1	33473585	33546597	-	5683	3479	6490	3281	5869	1670	4012	2486	7925	2775	8226	2430	4619
ENSG00000004468.8	CD38	protein_coding	chr4	15779898	15854853	+	6855	359	76	342	64	33	7	515	36	550	45	61	10
