gene	gene_name	gene_type	chr	start	end	strand	length	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
ENSG00000000003.10	TSPAN6	protein_coding	chrX	99883667	99894988	-	2968	0.111	0.049	0.086	0.1	0.42	0.184	0.067	0.032	0.05	0.053	0.053	0.024
ENSG00000000419.8	DPM1	protein_coding	chr20	49551404	49575092	-	1207	35.129	42.969	32.705	41.107	36.389	42.43	29.659	42.113	30.229	40.368	37.558	46.599
ENSG00000000457.9	SCYL3	protein_coding	chr1	169818772	169863408	-	6876	4.757	4.483	4.793	4.504	5.16	4.67	4.451	3.701	4.402	3.7	5.203	4.376
ENSG00000000460.12	C1orf112	protein_coding	chr1	169631245	169823221	+	6354	2.199	1.655	2.447	1.415	1.278	1.423	2.146	0.98	2.211	1.149	1.559	1.294
ENSG00000000938.8	FGR	protein_coding	chr1	27938575	27961788	-	3474	19.882	10.868	16.73	9.745	31.926	18.225	21.157	4.753	21.06	4.897	21.039	17.608
ENSG00000000971.11	CFH	protein_coding	chr1	196621008	196716634	+	8144	0.175	0.102	0.192	0.114	0.113	0.04	0	0.004	0.018	0	0.01	0
ENSG00000001036.9	FUCA2	protein_coding	chr6	143815948	143832827	-	3119	4.34	3.395	4.343	3.452	3.225	2.419	2.885	2.844	2.895	2.722	2.635	2.227
ENSG00000001084.6	GCLC	protein_coding	chr6	53362139	53481768	-	8463	5.78	5.515	4.957	5.312	7.763	7.658	5.659	7.381	5.582	6.499	7.442	9.598
ENSG00000001167.10	NFYA	protein_coding	chr6	41040684	41067715	+	3811	18.959	23.316	19.187	23.417	17.191	22.591	21.918	27.922	22.589	27.454	23.109	27.183
ENSG00000001460.13	STPG1	protein_coding	chr1	24683489	24743424	-	8514	0.417	0.541	0.449	0.513	0.927	0.646	0.689	0.717	0.629	0.601	0.942	0.649
ENSG00000001461.12	NIPAL3	protein_coding	chr1	24742284	24799466	+	9404	4.244	2.191	4.492	2.117	7.143	4.093	6.669	2.06	6.226	1.938	5.853	3.072
ENSG00000001497.12	LAS1L	protein_coding	chrX	64732462	64754655	-	5589	13.209	21.525	13.142	21.396	10.599	18.131	10.874	25.939	11.133	27.047	11.143	17.838
ENSG00000001561.6	ENPP4	protein_coding	chr6	46097730	46114436	+	4651	5.836	5.388	5.982	5.895	6.001	7.437	6.614	8.886	7.176	10.067	6.72	10.455
ENSG00000001617.7	SEMA3F	protein_coding	chr3	50192478	50226508	+	4826	0	0.015	0.023	0.008	0.067	0.053	0.016	0.013	0	0.013	0.098	0.066
ENSG00000001629.5	ANKIB1	protein_coding	chr7	91875548	92030698	+	7130	10.826	12.112	11.001	12.21	11.861	12.699	13.1	14.96	14.023	15.195	13.201	13.217
ENSG00000001630.11	CYP51A1	protein_coding	chr7	91741465	91772266	-	4074	0.817	1.006	0.894	1.371	1.11	2.532	0.895	1.668	0.625	1.724	1.052	2.036
ENSG00000001631.10	KRIT1	protein_coding	chr7	91828283	91875480	-	6204	12.148	10.844	12.033	10.383	11.103	10.317	12.167	9.937	12.795	10.238	12.814	11.203
ENSG00000002016.12	RAD52	protein_coding	chr12	1021243	1099219	-	4190	9.168	5.609	8.352	5.731	7.928	5.802	9.13	3.851	9.584	4.216	7.319	4.348
ENSG00000002079.8	MYH16	pseudogene	chr7	98836417	98908753	+	6387	0.006	0	0.017	0.006	0.014	0.017	0.006	0	0.006	0.01	0	0.011
ENSG00000002330.9	BAD	protein_coding	chr11	64037302	64052176	-	1708	4.562	2.123	4.925	2.426	5.618	4.097	4.503	1.087	3.794	1.005	5.732	2.801
ENSG00000002549.8	LAP3	protein_coding	chr4	17578815	17609595	+	3785	13.58	33.883	12.632	33.891	11.092	18.75	8.421	29.227	8.977	30.19	12.756	19.083
ENSG00000002587.5	HS3ST1	protein_coding	chr4	11394774	11431389	-	8166	1.891	0.182	1.766	0.163	0.305	0.228	2.791	0.135	2.404	0.187	0.621	0.234
ENSG00000002726.15	AOC1	protein_coding	chr7	150521715	150558592	+	3824	0.115	0.095	0.076	0.106	0.084	0.019	0.041	0.025	0.069	0	0	0
ENSG00000002745.8	WNT16	protein_coding	chr7	120965421	120981158	+	3261	2.569	1.568	2.635	1.078	2.674	1.598	5.021	1.331	4.79	1.646	7.584	4.38
ENSG00000002822.11	MAD1L1	protein_coding	chr7	1855429	2272878	-	6955	7.196	4.865	6.791	5.309	8.531	7.054	8.618	6.06	7.616	5.839	6.314	5.498
ENSG00000002834.13	LASP1	protein_coding	chr17	37026112	37078023	+	7061	36.123	14.233	34.409	13.341	46.038	25.641	37.842	7.698	35.832	6.679	37.78	16.589
ENSG00000002919.10	SNX11	protein_coding	chr17	46180719	46200436	+	3606	17.136	40.382	17.228	39.072	12.986	44.497	12.687	39.252	12.767	40.778	14.697	36.129
ENSG00000002933.3	TMEM176A	protein_coding	chr7	150497491	150502208	+	3479	0.294	0.136	0.241	0.277	0.119	0.105	0.273	0.226	0.452	0.269	0.011	0.01
ENSG00000003056.3	M6PR	protein_coding	chr12	9092959	9102551	-	3777	33.659	45.439	35.798	46.531	36.328	50.984	37.534	76.524	37.144	73.649	38.245	68.743
ENSG00000003096.9	KLHL13	protein_coding	chrX	117031776	117251303	-	6983	0.005	0	0.031	0.011	0.046	0.026	0.017	0.009	0.038	0	0.017	0
ENSG00000003137.4	CYP26B1	protein_coding	chr2	72356367	72375167	-	5015	0.015	0	0.007	0.015	0.009	0.022	0	0	0	0	0.039	0
ENSG00000003147.13	ICA1	protein_coding	chr7	8152814	8302317	-	4891	0.12	0.193	0.089	0.121	0.16	0.134	0.041	0.013	0.015	0.006	0.016	0.036
ENSG00000003249.9	DBNDD1	protein_coding	chr16	90071273	90086536	-	3522	0.758	0.093	0.765	0.095	0.17	0.062	3.309	0.107	3.701	0.177	0.77	0.362
ENSG00000003393.10	ALS2	protein_coding	chr2	202565277	202645912	-	10381	1.935	2.4	2.263	2.417	3.182	3.416	2.356	2.515	2.263	2.559	3.397	3.602
ENSG00000003400.10	CASP10	protein_coding	chr2	202047604	202094129	+	7598	5.638	1.499	5.425	1.5	5.532	2.14	6.35	0.571	6.829	0.534	5.542	1.745
ENSG00000003402.15	CFLAR	protein_coding	chr2	201980827	202041410	+	22528	9.508	16.322	9.647	16.596	10.074	15.769	8.602	19.54	9.211	19.044	10.744	21.238
ENSG00000003436.10	TFPI	protein_coding	chr2	188328957	188430487	-	11714	0.034	0.028	0.016	0.044	0.067	0.056	0.003	0.011	0.019	0.005	0.007	0.015
ENSG00000003509.11	NDUFAF7	protein_coding	chr2	37458774	37480546	+	3651	10.571	6.467	10.802	6.162	9.162	6.2	10.12	4.971	10.189	4.642	8.335	6.281
ENSG00000003756.12	RBM5	protein_coding	chr3	50126341	50156454	+	10368	45.388	21.751	44.789	20.794	35.101	23.421	50.561	17.132	52.828	17.383	40.333	23.33
ENSG00000003987.9	MTMR7	protein_coding	chr8	17155539	17271037	-	5692	0.482	0.535	0.403	0.403	0.592	0.403	0.369	0.403	0.388	0.378	0.518	0.342
ENSG00000004059.6	ARF5	protein_coding	chr7	127228399	127231759	+	1871	42.783	29.697	41.671	30.968	58.046	51.159	35.385	21.401	35.779	20.853	42.868	38.965
ENSG00000004139.9	SARM1	protein_coding	chr17	26691378	26728065	+	8132	1.359	1.262	1.437	1.47	1.901	1.632	1.853	1.787	1.695	1.792	1.895	1.783
ENSG00000004142.7	POLDIP2	protein_coding	chr17	26673659	26684545	-	2662	31.815	52.332	30.957	52.928	27.297	51.43	23.932	62.53	23.332	64.619	27.796	51.884
ENSG00000004399.8	PLXND1	protein_coding	chr3	129274018	129325661	-	9738	6.988	1.929	6.305	2.249	3.245	0.966	6.994	0.694	6.601	0.439	2.891	0.284
ENSG00000004455.12	AK2	protein_coding	chr1	33473585	33546597	-	5683	22.396	41.419	21.024	38.211	13.558	25.733	17.342	43.863	18.292	45.18	16.812	28.806
ENSG00000004468.8	CD38	protein_coding	chr4	15779898	15854853	+	6855	1.916	0.402	1.817	0.345	0.222	0.037	2.978	0.165	3.006	0.205	0.35	0.052
ENSG00000004478.5	FKBP4	protein_coding	chr12	2904119	2914576	+	3958	33.959	96.435	33.131	93.976	27.672	72.588	23.418	113.761	23.453	112.511	42.098	93.188
ENSG00000004487.11	KDM1A	protein_coding	chr1	23345941	23410182	+	5447	16.079	13.603	16.052	13.966	19.329	17.165	17.518	13.599	16.705	13.157	18.991	16
ENSG00000004534.10	RBM6	protein_coding	chr3	49977440	50137478	+	7300	74.146	52.257	67.174	48.743	39.469	33.584	66.124	41.731	71.417	42.817	50.966	37.471
ENSG00000004660.10	CAMKK1	protein_coding	chr17	3763609	3798185	-	7424	3.942	4.749	3.595	5.258	8.222	4.448	3.391	5.995	3.951	5.987	7.441	4.559
ENSG00000004700.11	RECQL	protein_coding	chr12	21621845	21654603	-	3778	20.626	15.734	20.511	14.504	33.045	26.031	23.127	15.244	23.123	15.367	30.929	27.768
ENSG00000004766.11	CCDC132	protein_coding	chr7	92861653	92988338	+	7359	5.787	4.928	5.993	4.751	6.972	6.3	6.174	5.86	6.277	5.607	7.421	7.619
ENSG00000004777.14	ARHGAP33	protein_coding	chr19	36265434	36279724	+	5260	2.963	0.986	3.205	1.076	2.298	1.116	2.449	0.173	2.906	0.154	1.45	0.398
ENSG00000004779.5	NDUFAB1	protein_coding	chr16	23592323	23607677	-	1600	31.485	49.144	30.202	48.377	20.675	35.357	16.18	43.957	16.202	43.796	18.061	33.891
ENSG00000004799.7	PDK4	protein_coding	chr7	95212811	95225803	-	4519	1.384	0.008	1.177	0.016	0.449	0.048	1.948	0.014	2.006	0.048	1.27	0.047
ENSG00000004809.9	SLC22A16	protein_coding	chr6	110745890	110797844	-	3791	0.01	0.029	0	0.02	0.037	0.058	0	0	0	0	0	0.019
ENSG00000004838.9	ZMYND10	protein_coding	chr3	50378541	50384283	-	4009	0.694	0.244	0.908	0.425	0.564	0.336	0.949	0.173	1.093	0.241	0.667	0.177
ENSG00000004864.9	SLC25A13	protein_coding	chr7	95749532	95951459	-	3710	6.38	12.689	6.91	11.11	3.606	7.437	4.755	10.81	5.584	10.811	5.182	9.782
ENSG00000004866.14	ST7	protein_coding	chr7	116593292	116870157	+	6742	0.906	1.662	1.086	1.202	1.17	1.189	0.564	1.101	0.583	1.116	0.881	1.088
ENSG00000004897.7	CDC27	protein_coding	chr17	45195069	45266788	-	6824	11.923	9.609	11.238	8.513	10.993	9.241	12.281	7.781	12.028	7.698	11.834	10.808
ENSG00000004961.10	HCCS	protein_coding	chrX	11129421	11141198	+	2335	11.39	15.626	10.839	15.212	10.353	15.423	10.713	21.486	9.706	21.308	12.443	18.214
ENSG00000004975.7	DVL2	protein_coding	chr17	7128660	7137864	-	5350	11.276	10.799	11.401	11.045	16.98	15.643	12.805	11.082	11.974	10.904	14.161	13.905
ENSG00000005001.5	PRSS22	protein_coding	chr16	2902728	2908171	-	2387	0.092	0.076	0.061	0.031	0.058	0.061	0	0	0	0	0	0
ENSG00000005007.8	UPF1	protein_coding	chr19	18942747	18979045	+	8600	19.981	26.548	19.436	28.244	22.446	25.859	19.048	36.125	18.199	35.006	21.204	25.81
ENSG00000005020.8	SKAP2	protein_coding	chr7	26706681	27034858	-	5520	17.596	10.329	17.515	10.959	19.549	16.832	20.253	9.413	20.352	9.387	19.509	17.342
ENSG00000005022.5	SLC25A5	protein_coding	chrX	118602363	118605282	+	1500	171.458	203.104	158.942	179.498	81.108	125.535	100.616	199.189	98.198	195.935	90.665	135.244
ENSG00000005059.11	CCDC109B	protein_coding	chr4	110481361	110609874	+	3558	18.302	5.087	17.154	4.836	27.762	13.461	19.644	1.733	19.215	1.544	22.056	7.899
ENSG00000005075.11	POLR2J	protein_coding	chr7	102113565	102119354	-	962	15.934	16.438	14.763	16.115	13.524	15.005	11.209	11.934	8.45	10.74	9.318	10.905
ENSG00000005100.8	DHX33	protein_coding	chr17	5344232	5372380	-	5872	10.66	30.123	10.276	29.861	6.278	18.455	7.453	35.182	8.064	36.97	9.173	23.358
ENSG00000005102.8	MEOX1	protein_coding	chr17	41717756	41739322	-	2707	0.176	0.134	0.04	0.15	0.034	0.027	0	0	0.069	0	0.029	0
ENSG00000005108.11	THSD7A	protein_coding	chr7	11409984	11871824	-	10923	0.003	0	0	0.007	0.072	0.08	0	0	0.007	0.003	0	0.013
ENSG00000005156.7	LIG3	protein_coding	chr17	33307513	33332083	+	8240	4.848	8.27	4.428	8.994	4.502	8.878	4.479	13.307	4.223	13.372	5.411	10.895
ENSG00000005175.5	RPAP3	protein_coding	chr12	48057070	48099844	-	3343	16.043	19.279	15.61	16.978	14.629	17.108	17.195	20.493	16.159	20.046	18.618	21.087
ENSG00000005187.7	ACSM3	protein_coding	chr16	20621565	20808903	+	5095	2.161	0.37	2.144	0.29	1.268	0.393	2.965	0.235	3.117	0.178	1.968	0.369
ENSG00000005189.15	AC004381.6	protein_coding	chr16	20817751	20860987	+	4111	0.819	0.67	0.655	0.333	0.438	0.399	0.222	0.145	0.21	0.197	0.22	0.224
ENSG00000005194.10	CIAPIN1	protein_coding	chr16	57462081	57481440	-	3509	13.105	23.059	12.173	22.786	10.86	20.536	8.733	21.693	8.242	23.118	10.05	19.493
ENSG00000005206.12	SPPL2B	processed_transcript	chr19	2328614	2355099	+	7096	51.912	13.432	49.379	14.48	34.134	11.809	42.778	10.036	44.942	10.803	34.053	7.991
ENSG00000005238.15	FAM214B	protein_coding	chr9	35104109	35116338	-	6409	2.534	0.866	2.142	0.906	5.025	1.831	2.06	0.358	1.742	0.297	4.454	1.36
ENSG00000005243.5	COPZ2	protein_coding	chr17	46103533	46115392	-	1847	0.574	0.668	0.513	0.741	0.375	1.026	0.429	0.562	0.406	0.406	0.745	0.94
ENSG00000005249.8	PRKAR2B	protein_coding	chr7	106685094	106802256	+	4318	0.644	0.428	0.692	0.368	0.438	0.152	0.349	0.131	0.33	0.166	0.373	0.238
ENSG00000005302.13	MSL3	protein_coding	chrX	11776278	11793870	+	6494	22.816	20.335	24.062	20.42	27.544	19.286	24.852	10.365	26.466	10.194	26.476	12.814
ENSG00000005339.8	CREBBP	protein_coding	chr16	3775055	3930727	-	15068	15.558	9.435	15.211	10.129	19.486	14.843	26.113	14.596	24.687	12.477	24.089	18.579
ENSG00000005379.11	BZRAP1	protein_coding	chr17	56378592	56406152	-	11382	3.693	2.285	3.353	2.178	4.297	2.472	3.016	0.636	3.262	0.601	2.47	1.003
